,0
1932-10-01,9.37
1932-11-01,8.66
1932-12-01,8.19
1933-01-01,8.08
1933-02-01,7.69
1933-03-01,7.75
1933-04-01,7.64
1933-05-01,8.83
1933-06-01,10.37
1933-07-01,11.63
1933-08-01,12.26
1933-09-01,11.13
1933-10-01,9.55
1933-11-01,7.97
1933-12-01,8.26
1934-01-01,7.68
1934-02-01,7.59
1934-03-01,7.45
1934-04-01,7.41
1934-05-01,7.9
1934-06-01,9.82
1934-07-01,12.14
1934-08-01,12.23
1934-09-01,11.1
1934-10-01,9.31
1934-11-01,7.94
1934-12-01,8.14
1935-01-01,7.9
1935-02-01,7.28
1935-03-01,7.75
1935-04-01,7.51
1935-05-01,8.72
1935-06-01,9.83
1935-07-01,11.17
1935-08-01,11.58
1935-09-01,10.89
1935-10-01,9.6
1935-11-01,8.64
1935-12-01,7.82
1936-01-01,7.48
1936-02-01,7.17
1936-03-01,7.77
1936-04-01,7.87
1936-05-01,8.59
1936-06-01,9.75
1936-07-01,11.81
1936-08-01,12.45
1936-09-01,11.25
1936-10-01,9.98
1936-11-01,8.63
1936-12-01,7.71
1937-01-01,7.47
1937-02-01,7.3
1937-03-01,7.42
1937-04-01,7.44
1937-05-01,8.29
1937-06-01,9.59
1937-07-01,11.09
1937-08-01,11.86
1937-09-01,10.29
1937-10-01,9.08
1937-11-01,8.29
1937-12-01,7.93
1938-01-01,7.77
1938-02-01,7.69
1938-03-01,7.69
1938-04-01,7.66
1938-05-01,8.2
1938-06-01,9.5
1938-07-01,10.22
1938-08-01,11.67
1938-09-01,10.67
1938-10-01,9.28
1938-11-01,8.71
1938-12-01,8.22
1939-01-01,7.71
1939-02-01,7.78
1939-03-01,7.83
1939-04-01,7.97
1939-05-01,8.81
1939-06-01,10.29
1939-07-01,11.67
1939-08-01,12.38
1939-09-01,11.32
1939-10-01,9.55
1939-11-01,8.58
1939-12-01,8.01
1940-01-01,8.06
1940-02-01,8.03
1940-03-01,8.18
1940-04-01,8.04
1940-05-01,8.42
1940-06-01,9.53
1940-07-01,11.1
1940-08-01,11.72
1940-09-01,10.16
1940-10-01,8.85
1940-11-01,7.91
1940-12-01,7.4
1941-01-01,7.31
1941-02-01,7.38
1941-03-01,7.79
1941-04-01,7.94
1941-05-01,8.5
1941-06-01,10.15
1941-07-01,11.24
1941-08-01,11.83
1941-09-01,10.85
1941-10-01,9.76
1941-11-01,8.91
1941-12-01,8.11
1942-01-01,7.91
1942-02-01,7.89
1942-03-01,7.92
1942-04-01,7.75
1942-05-01,8.66
1942-06-01,10.23
1942-07-01,11.05
1942-08-01,11.68
1942-09-01,10.52
1942-10-01,9.26
1942-11-01,8.17
1942-12-01,7.77
1943-01-01,7.58
1943-02-01,7.46
1943-03-01,7.62
1943-04-01,7.69
1943-05-01,8.5
1943-06-01,10.07
1943-07-01,11.41
1943-08-01,11.75
1943-09-01,10.53
1943-10-01,9.09
1943-11-01,8.38
1943-12-01,7.89
1944-01-01,7.34
1944-02-01,7.28
1944-03-01,7.73
1944-04-01,7.69
1944-05-01,8.51
1944-06-01,9.73
1944-07-01,11.19
1944-08-01,11.45
1944-09-01,10.07
1944-10-01,9.15
1944-11-01,8.1
1944-12-01,7.39
1945-01-01,7.13
1945-02-01,7.33
1945-03-01,7.63
1945-04-01,8.13
1945-05-01,8.75
1945-06-01,9.74
1945-07-01,10.88
1945-08-01,11.6
1945-09-01,10.51
1945-10-01,9.54
1945-11-01,8.95
1945-12-01,8.1
1946-01-01,7.94
1946-02-01,7.97
1946-03-01,7.82
1946-04-01,7.98
1946-05-01,8.31
1946-06-01,10.25
1946-07-01,11.03
1946-08-01,11.43
1946-09-01,10.92
1946-10-01,9.67
1946-11-01,8.63
1946-12-01,7.87
1947-01-01,7.76
1947-02-01,7.49
1947-03-01,7.63
1947-04-01,7.85
1947-05-01,8.01
1947-06-01,9.39
1947-07-01,10.66
1947-08-01,11.75
1947-09-01,10.39
1947-10-01,9.39
1947-11-01,8.55
1947-12-01,7.71
1948-01-01,7.93
1948-02-01,7.31
1948-03-01,7.65
1948-04-01,8.0
1948-05-01,8.28
1948-06-01,9.5
1948-07-01,11.08
1948-08-01,11.85
1948-09-01,10.75
1948-10-01,9.3
1948-11-01,8.4
1948-12-01,8.22
1949-01-01,7.92
1949-02-01,7.83
1949-03-01,7.94
1949-04-01,8.08
1949-05-01,8.31
1949-06-01,9.89
1949-07-01,11.22
1949-08-01,11.82
1949-09-01,11.07
1949-10-01,10.01
1949-11-01,9.02
1949-12-01,8.06
1950-01-01,8.28
1950-02-01,7.88
1950-03-01,7.85
1950-04-01,7.61
1950-05-01,8.57
1950-06-01,10.0
1950-07-01,11.76
1950-08-01,12.36
1950-09-01,10.93
1950-10-01,9.58
1950-11-01,8.85
1950-12-01,7.65
1951-01-01,7.48
1951-02-01,7.24
1951-03-01,7.11
1951-04-01,7.15
1951-05-01,8.18
1951-06-01,9.67
1951-07-01,11.06
